address,weight
0x0000000000000000000000000000000000000005,10
0x000000000000000000000000000000000000dead,10
0x000000000000084e91743124a982076c59f10084,10
0x0000000000000eb4ec62758aae93400b3e5f7f18,10
0x0000000000007673393729d5618dc555fd13f9aa,10
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,10
0x0000000000051666bbfbb42925c3ee5d50cf6b10,10
0x000000000035b5e5ad9019092c665357240f594e,10
0x00000000003b3cc22af3ae1eac0440bcee416b40,10
0x0000000000d1d773661e4b2102bbe07d4dcde777,10
0x0000000000d41c96294ccdac8612bdfe29c641af,10
0x000000000bdbd514fd0ebb5b5773e006145d5140,10
0x000000002605006ff4ad30ac969f0726821ebd7c,10
0x0000000033431f236e97fa549b367827360effd7,10
0x00000000500e2fece27a7600435d0c48d64e0c00,10
0x000000005736775feb0c8568e7dee77222a26880,10
0x0000000057a888b5dc0a81f02c6f5c3b7d16b183,10
0x0000000094acb89a43eac2fbb3a07973efc2435c,10
0x0000000099cb7fc48a935bceb9f05bbae54e8987,10
0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,10
0x00000000c9fdd743c60055c0e4ea30d266272c1f,10
0x00000000dc0e59517a8114348d9130e7d3835832,10
0x00000000e8080db3ed60313725643d38bec42071,10
0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c,10
0x00000000f515b28e81a0e98ea3f4f816ef7e62b2,10
0x000000bda8396361e87648109c90d368002c4f17,10
0x000000c52b33fa71614810224771dc8f3255b220,10
0x0000fee6275dab194ab538a01dd8b18b02b20000,10
0x0016187fb9b7ab575be7ce1e97bfbe1572cae3cb,10
0x001bd6a12f11cd18ca0c73048d9486a2f1dfb418,10
0x001e15709c2b2e7fb61d8220ae9b444c1eef2d00,10
0x00290ffc9e9d19bda7b25c6e44d8adf55dfbf2dd,10
0x00405bc760229d8bbd79542b46da14f3f0a5ee79,10
0x004537fcd9095489ebe38180a382341b962b501d,10
0x004598ab853d38b8dcab282d4bc7162668b41787,10
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,10
0x004baeac693aac11dcd1d7139338d32fbd87898a,10
0x006dd6c488e90180d7346db5a026fd747af3b218,10
0x009563f2b837f7814f848137a814329672f702d2,10
0x00af41c6ee0b153e973004529db12e35a65748f6,10
0x00bfa8002bd85f75de5ad3dfe3827d5baafe00af,10
0x00c10443748a2706427e756588bdfe345ac540e9,10
0x00c9eb7cf1aee948b3ca6e30872bbd74e00fb98c,10
0x00d66c57a5364ee42ee826d3194beb86ca89a74d,10
0x00fac16c3fbcc591f5a7e358054850ae5e6ea90f,10
0x0102f2bac916ecbb4c875404e6782117dde2ff0d,10
0x01076e09dcb258c16537670307f9bdced007bf37,10
0x0108347068616a6bf61e138736ad11fe3ea22c36,10
0x012433b4dfc428a7bc9c9aabcc12af3af963b226,10
0x012f3976c93260f7e4ce1289638278a870b6678d,10
0x01527845f307439395c49dc1f6740f2d99032f68,10
0x0154227b121f892fa88237f6162a2415200b4a62,10
0x0159dfc1c745dc4b10d42d2592335120f1f2d778,10
0x0181a654e4b48bf9b44a37e377b7477d7586d9b2,10
0x018a973136feee8d41cb5a5de46fa491baecf2dd,10
0x018e2ba82107d272732c276d0408b40f1a9d47f7,10
0x018e4aa4f6e439c961295ca25528bb185d1e74e4,10
0x01a1137e1f29fa4a71b805d641321338df713a19,10
0x01af0824f53e1ab6aee464d0e39ff940b288a170,10
0x01c6fa3dd673682627753025f36aeb11f8bb0dec,10
0x01ce344ed9b0b62559e99ba2448c4b66f9037cd9,10
0x01d2242c2e875ec191a13f846301528b3e84b2a7,10
0x01e7f3c66cd4d961886a693f5c8ff4b80592e92f,10
0x01ed07ab661d830c59b86b50a18617fda879cec1,10
0x02023798e0890ddebfa4cc6d4b2b05434e940202,10
0x0206a3dcdfa36aa4525ae329d791541e406336f4,10
0x020891d1e23ab9a8a5cdc6def299761c5aee0b22,10
0x0215c140840b896e1e371525d1f70cefbd09aafa,10
0x022766b23fef0f84b3c654e954141b0b4e38005c,10
0x022a29ebe2be30f0c7ffc7dc9c51ffd3714762d0,10
0x02304d460e9074e82e5efd18e483422033f488a4,10
0x0242057b1a3d1283b648f4976baae359d59a8dd7,10
0x024d44add5e12c0d86f2f29d99ebe44c4b1bfb28,10
0x024dd00c90346f021765c3be7f6157de8520fefb,10
0x025a11bd2bb7630846647804b8639233b78f89f9,10
0x0267940d1897b150ac9601ef00d0e38a5fda3011,10
0x02755d2f4deb6a67015c2f4ed8995d0308af3d49,10
0x02758fbc0bb97a57d93351981e4e2eec47a4a921,10
0x02795d3c58e337e5febdee820bfa81149d33d529,10
0x02a168020c8f00e13883fdb5584d7d2aca7d11e2,10
0x02a3a92b339a742815a5a13d9afda5e3d344e540,10
0x02a5c980029cb470ac89df2e2de1cf453aee6558,10
0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,10
0x02bf826cd2631f72f631abcc715559b26009d93d,10
0x02cf4d6f51b736d4b3542fc552fabc08dfc0e410,10
0x02eae3685290aab9dcb3f87ad0d827833648bcfb,10
0x02f52d1af28a6847b9584cf7265443760fdd65f0,10
