address,weight
0x3e5cf5fea9fa5c2668ba44c814eeb6c550c37341,10
0x31d0e88666a1842f4c46b3ee2aa41ac386a79f51,10
0xda9b8d13ec0bf4661f6442a122e793530c7d61f9,10
0xd3055381ce349b4cb7116a0b3fab762c3f16fa45,10
0xd1eddfcc4596cc8bd0bd7495beab9b979fc50336,10
0xcc24123a992181231dae0df09466bf789b3d6041,10
0xc9420c9349120ca88d6c349cdf4af038e2ca5027,10
0xc3de23dc565df629f1422f7db0e5504d21f4fd65,10
0xc1d622d588b92d2f7553c6fe66b1ce6c52ec36f9,10
0xb47672b7953336ba3fe1084714a93e7b5cf083c7,10
0xb2f4b16595e02a9721f97e3e30fb5bbbf73f5f54,10
0xa405bb5b1cea47eb4e456cfe82923688bc4acf84,10
0x98d77abdb5b1a7825ac5a40d31dcb235b94f7664,10
0x987d0e8552c7bb0e4970f2ba89722a36e8f3443f,10
0x9080196182f77b89bb5b0eee3ddb48cfa716c4c3,10
0x8d138c01765483cb79d787ce5933f609cbfdabcf,10
0x8ca2fbf18c57999d07109ef257d5340746efbc9d,10
0x8760e565273b47195f76a22455ce0b68a11af5b5,10
0x76186ca250bef65522561a0b9ff51d4ee5608932,10
0x6ecf67485948687fdbf6007ba241e4265ccec359,10
0x66b1de0f14a0ce971f7f248415063d44caf19398,10
0x654a855e48f6943966788b81dc739117c5bff6a1,10
0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,10
0x4bc519f0b7b348fae780afb2dd4aa76841ba8e9e,10
0x40e14b90e66b1d694f425579118d0dc8ef1dbc91,10
0x3a3355805181ba5752cb52cebe8c95c0f3ed3d61,10
0x2aa8c3aa07a3b6968a54749f0d770626239c0f43,10
0x28e7ac2302a402a241169852d07965da9ac4ab7e,10
0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619,10
0x207ac8e8b2db9bec1b53176f26fc16c349363309,10
0x1e9c89aff77215f3ad26bffe0c50d4fdeba6a352,10
0x1d4f6afc0e305048ae0a9be9f76b4b89d4a360a5,10
0x1426fbd146942e153653863cbe633780c17268da,10
0x0b877e067311fc2446a51959fc7e38ac555e3887,10
0x0790e36f6ba5348f2b26fd43091f5bb9811e7312,10
