address,weight
0xcfc17e2e89c24a8ccbd84ccf94d4db209ea0eed6,10
0x17d2f2dd213ad0153e77356ff95a26437ea5376a,10
0x60a43df8f1c7a4156081717f1396cb587efb95c4,10
0xb5f64075e1d61e95cd16e17530e808c8078d3e97,10
0x40a563a2429ba87cdd4e92a928626b003236b5e8,10
0xa0524905a6fc38075a54451fc5b4f01fac78fa22,10
0xaa7f9b887e6a6e437649574cabc6a67b03da6b13,10
0x1e168367508db40a0f7d9b3c73b3bcb032eafe45,10
0x302d59d9e312644cba6f570ebcc9714419ad681e,10
0xf879b7f0d4ef130b0e88a98387c422b18af55577,10
0x2e824ba7742a2e0e29ac89114430bb8545d15454,10
0x0a690b298f84d12414f5c8db7de1ece5a4605877,10
0xd3731d7dfe10f3915f5a45fea3b458d18a618365,10
0x1ec629d74f0ed5599932ae35110fad86a95c3117,10
0xfba72b6e17596b2ade2911cbc2c2b01119e7069d,10
0xc3088b463369a5163ec98e5a281972ad18fb7325,10
0x37aa4edf12504daf88eab7811988d63483e78345,10
0x733d0dade1c3163c8e66fec09b36d0cf767de694,10
0x077d66634ce3c203ca0e043b27032c1dc37eeda3,10
0xbaad27a2c85c69434ef6da508fe40f731a41ae38,10
0xa5bbcd506348f40072934e5aca2d138b065baa33,10
0x15dbafbc783fed89a0bbea7626ddfe86fb94f5e8,10
0x804e8b7ef7b89eab94fdd0679d5e935301abc124,10
0x0bfa163ff9674f5e137d5f49cdf28fa7b7c60873,10
0x31d58611e22ef374c1d3dcaec52009b883ca9a31,10
0x92212c4a801db470e5a73d963e4e6b015d25a08f,10
0x3cb3c7750bd379f751813b643f29ffc82758da59,10
0x83ef4dd5027dfb7490e535e9ac2c42771d36b576,10
0x3d47ecd659f2308731a33792761375c1f82f1228,10
0xdde47a1a9fdddbe685f161fda23a312f3b3e6fa8,10
0x71da8d813d3ad7de64c6601758793a54ee0d9577,10
0xc34a7246ecc7c1afb97f1cb02e79eebc043b2c80,10
0xed38cf2ace8d12befe2ecacdd359639b65990b3e,10
0xf5c128ba0ea1236633819b06fc8983234ecc914f,10
0xe5b2655795d71432e3cd246d4e7080e8ac33122d,10
0x3a922b35e95e7970903eb6611c1e5bf277896b9c,10
0xab1328bc5a13cf678c4b2fe358065ae702bf4036,10
0x692833aa60079caf85157e9d5e41b647d86b9e6a,10
0x04207d4004e25ce5bb0417e2dfb9ecf89370cd50,10
0x3401ea5a8d91c5e3944962c0148b08ac4a77f153,10
0x8bca4cdfb1793a9ff24464d17412decd86b80f77,10
0xded62029beafe36763f2a346532eed80860539f0,10
0x7c30355676cd807fcedb57a12201f9500360c3d1,10
0x3a17ef59aa122e02cff4f0b2a74626ae17e2fea2,10
0xdc0a6a168bc8236fec08029303f2fe78d4b42aeb,10
0xc4469b48ca1591b96314e820518e7eb9fd339273,10
0x183aea25eddb3542bde29f18e49b276730669de3,10
0x36879545f250d3ea3b37d26fc2bdb3c27f62de90,10
0x0d43536d52289a0249222ab48ee7ce9a5a35361b,10
0xf8878e025b7ecf0c6c37654043173c227a399031,10
0x6332a5beb5b0b38cf1c6b53cb2f4574c60c71d11,10
0xe59dfae49e8876b85f584c04eb5596276cc8d071,10
0xd355f8b99c59d409dc5ed09ca1be45f22690c604,10
0x9dc5e6140a1c30b72e1d2ddf50e260ec4f939c7e,10
0x9c9dc7781053d519326aa7f8e80ae1a1b217a47d,10
0xebefe770b92e228d627058a57298de2a8dcb2053,10
0x9620cf857cd88a93b0145b5f2809441637055a35,10
0xdaf059bdd160b192853d916d5bb3aa6f20713b98,10
0x1a43b912f8a2a128ae19a28540798f9771891f02,10
0x1233f9512241d9b8c529b9e787f9978b0ce1e48e,10
0xad860db677e6cde3794c75aff21be2269a302b98,10
0x8a6ea995b8ce009b04d257b9a1d743916c87e86e,10
0x269faeb4fa16c8b2c831a8e3fb5c51520a920dc4,10
0x69fb9c41581bfeaab7de61f35914e0a0b63c6773,10
0x59699a0e3708b65c60500acdb2974c90c64470ef,10
0x24ffa1514b1111e02ead98db14b7e868f6d37fbd,10
0x28455093b11fba0e4080aaf760b908c44a14f99e,10
0x78d885a7d800d56720e60cb6abd82918c3a0654e,10
0x8ab1aefc1384a0ecbd37f90e5d8c09d56b22433d,10
0x808784309e6e05c5c3f75d14152f83053750f544,10
0xd7074fad70ca1962a1150d6311663f8129876d05,10
0xc380cd3efa09aa2065857ddd58173923c3126979,10
0xd61fce134fbffa98951173b0c5265a5a5bacfcdc,10
0xc0df026d59cf5b2323ee7ea2a2b21bf707afee04,10
0xc8d28b5326bbb33624167184c753d566d64c71d1,10
0x7088e922495e450b4f8719772b30964d693041db,10
0x67a9ebf979b08821fc39c9634497765176001b72,10
0x03b0473b02060840b4a0dd05d2ec27f9169c0873,10
0x1ed605eb88a4b1b17f41edb2ff007f9267705856,10
0xab202767ce75780d1cddf90736f265db572180b0,10
0xd1aec6ac0ac5b08ee2e1d3bbf2f37d1925435e71,10
