address,weight
0x000000000000084e91743124a982076c59f10084,10
0x0000000000000eb4ec62758aae93400b3e5f7f18,10
0x0000000000003f5e74c1ba8a66b48e6f3d71ae82,10
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,10
0x000000000000cb53d776774284822b1298ade47f,10
0x00000000002bde777710c370e08fc83d61b2b8e1,10
0x000000000035b5e5ad9019092c665357240f594e,10
0x00000000003b3cc22af3ae1eac0440bcee416b40,10
0x00000000005dbcb0d0513fcda746382fe8a53468,10
0x0000000000d41c96294ccdac8612bdfe29c641af,10
0x0000000033431f236e97fa549b367827360effd7,10
0x000000003a7cd5b15e460f73976b267544726f5f,10
0x000000005736775feb0c8568e7dee77222a26880,10
0x0000000057a888b5dc0a81f02c6f5c3b7d16b183,10
0x000000005804b22091aa9830e50459a15e7c9241,10
0x0000000071e801062eb0544403f66176bba42dc0,10
0x0000000099cb7fc48a935bceb9f05bbae54e8987,10
0x00000000acd5ca17eee6d92d9ca121543126cce1,10
0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,10
0x00000000c9fdd743c60055c0e4ea30d266272c1f,10
0x00000000cd47aa64daf64f5144b0d7885754374c,10
0x00000000dc0e59517a8114348d9130e7d3835832,10
0x00000000e8080db3ed60313725643d38bec42071,10
0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c,10
0x00000000f515b28e81a0e98ea3f4f816ef7e62b2,10
0x000000917de6037d52b1f0a306eecd208405f7cd,10
0x000000c52b33fa71614810224771dc8f3255b220,10
0x0000fee6275dab194ab538a01dd8b18b02b20000,10
0x000e8c608473dcee93021eb1d39fb4a7d7e7d780,10
0x00290ffc9e9d19bda7b25c6e44d8adf55dfbf2dd,10
0x00326e37cef76788f6b0cf643c94481d60bd3d58,10
0x003814a176d587c13c8efe04cbd7790418388c60,10
0x004c7f45a2cee4336a07480fc8fa78c101c10409,10
0x005d3e384280788f952b887ccc8a93421bd46a4b,10
0x005e5cac6eb7637edf689403e01b86bda451ef61,10
0x0067723c0f227a4411ffa49549bc0119446d6b75,10
0x0098076df83bdaed687dcc866f8be7765ed05a0a,10
0x00adfc500b3e41ee753cd0f111860015c90b723b,10
0x00d14d2bffa3363114793f8f5df05b6d82f14ba1,10
0x00dc6ed345bddc5c4cc8b3e4fc989702e98d26de,10
0x00dcb795c64d1aee28c7a2cd0532cd49a0479801,10
0x010a572016841f3a75cad70c14464b726accca76,10
0x010ed7839b8a2ea15d8e6382735b725ad1f8bb6c,10
0x01222a114552e89e4c548170f8c1f4d5460d255a,10
0x012872fdc4142070b44e5068089a435d64f3f088,10
0x012f3976c93260f7e4ce1289638278a870b6678d,10
0x015bb41e3211196a6e0922935e8bc2ceab486cbd,10
0x015f2e9c1da633c9a41bce61b67f185035b87f38,10
0x0170e47b74134a71b0b07c545716ab2a4a871bab,10
0x0176bf30407b36416f58131860b9949cd6a231f4,10
0x0189334325f99433cdb6b1f5600b809b2add44b7,10
0x01a75914bad6e085351cd1d01a91f2fbb6f78d4f,10
0x01b05b78276d62764ba474c4ede66a0f6ead1e44,10
0x01b9b9bba16f24378b03a4665067325305dbdeaa,10
0x01bbb1bf2949e246e550820735320f1c030ed283,10
0x01c6fa3dd673682627753025f36aeb11f8bb0dec,10
0x01f8adf1d93997f4301fa424a20a092693aeef37,10
0x01ff55cc8041cd5aaeff687d410c6b14d799e874,10
0x021cd2b66e8769a0e7312e90f2fc70be7a8b7699,10
0x022766b23fef0f84b3c654e954141b0b4e38005c,10
0x025a11bd2bb7630846647804b8639233b78f89f9,10
0x026c858a65411d963adeb44a0296e4bc05e97007,10
0x0275ee17ad743acbf8dd8b8f8921abbe949d3858,10
0x028d37410cabc5a49e0c8f9e9f2ea998834dcfb2,10
0x0297acbe62ac90c4d79654eece1aeeea3b2bcf9a,10
0x02bbaa0b2da2c3be3ec1fcdab82998026239ac16,10
0x02be50bb21a97ef0840d0cc6e4112558e582ea6e,10
0x02c3bd961bcf47b172a6ddac250719872595381d,10
0x02f10b355b78b8958859f4599fc88a04f2dc9c54,10
0x02f6b2671faddb9041283fa180eca74a5fda3dc8,10
0x0307396deadf22d6c13cde79e34b1a28ec8c18f3,10
0x0312d027e127bbd645e9731d5c5fdde0ca550cda,10
0x031eb45b93c5aa4afd90d6f45a5a5360c7985366,10
0x0327c24d6e06eff7e9d0268411ee93f71054f132,10
0x03385283982b5c96504c07434a19136acbffc022,10
0x03446bb350421d70bd5bec5995f447dea1922ff9,10
0x035483926d143b394eb9fc8b974b44ebf338dfc7,10
0x03616be5b794cdb242340b97b93eabc855244376,10
0x037206acaa8ee3da02e9abe429f51255476a64d6,10
0x0373dc06fca5425fd8fa5e03dda2165dc28d07d6,10
0x037866c951fbddd0e9c2e2235927c15a0e28b85b,10
0x03832420806580fdb93bcfcdc2b0e6d37ca783b9,10
0x03892b33d9d7e7c8b7e4b5bca8425a8659ef8ffa,10
0x0391aa83ec8c7e3ee73d845f0f840e78262adb6b,10
0x03a673e4a53120a0f6f57e49b202f38553917136,10
0x03b8f31da1624e43d8f951fde77b2fa781c016fd,10
0x03c61e56730b2f5e89cef914cbfa53afa42f4700,10
0x03e3702d91098350d057ded0a05095f703bba2e7,10
0x03f5efeccfab224f2c3001c7f7e591df096a7d47,10
0x03f63498818d3b4819864b782427ad113fc677b5,10
0x04095b785125eaac01773babe15fb313e9aebc40,10
0x040d4205b3b23151c5df8076c15ce830332b97fd,10
0x041d4542f622eaa7fbf57c0ee35a65d4022e5ba1,10
0x0433b9477f0413eb1200d78032d9f710dd92ffd1,10
0x046759a461e4e976bc32e6da45c36358709cd905,10
0x0475f02056f215ca2d650104c047fd093abb70c6,10
0x0476f3ee277eb20568ee2369b337f3ce55bc558a,10
0x047f606fd5b2baa5f5c6c4ab8958e45cb6b054b7,10
0x0492e71453eede084d6038c09bfd6afc8e18d71e,10
0x04abd9757ee6294b3ce98327ab196d871c5f5ddd,10
0x04b936745c02e8cb75cc68b93b4fb99b38939d5d,10
0x04bfddd74d0e2f5d91358a9d2a1aada5290fe1ef,10
0x04d699f525c69a8709548007e4d37aab3a2826fb,10
0x04d76ed49c0c1f1695e9f70d26079fb363c0a627,10
0x04ea9d4fd1d1d380d6e6ef4c45cdcc97dccaa24d,10
0x04eb04196f16d2d87155c4e5ed4e782c7cb1bbd3,10
0x04ec2c927baefe0ff9e346d89167a0ecf1bba574,10
0x04ec4581c3d83b9c3196b02025801a444f512399,10
0x04f68c56b94fae68e3f75e666bb18a38bb09509a,10
0x05030ba291bb88eae1ec9b6f94344a6fe48c815c,10
0x0536da9d30cccd1947e50768254b26619dc57e79,10
0x054c6e9b559ebd8179b8d779bec70069cb659321,10
0x05525e1d30d72bfc8934fa3b014660b90d0bd01c,10
0x0560ade12bf4768ea2aed485a7314eea459b087b,10
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,10
0x058cff7958f435b2f82fa9833bcf4acfa2f69a9b,10
0x05a2727b119ef3ef2573b3cbcd2bea409b509d1b,10
0x05aa17d1f5685158406d43112d7bd61a259ecfe2,10
0x05b5a4a8664025a72b1454c87776e0e03bdd8dfe,10
0x05c09bbf110750c64bfbea847147b423743c4ac6,10
0x05c2e84b5e8b65cf969f3c55ab1609eb8570135b,10
0x05c3bf7df54dd257c1477a08dc6a348147e4a261,10
0x05c7fce761d024656a697216328ab9d1a9c3dd09,10
0x05ddfa0fd322a8b8af2052e9835d17a094a8438f,10
0x05ded1b2a768a08ed9266010f23a397cecf6af30,10
0x05eaf3564c72506ac18981890f1b1e9873a43a4e,10
0x0616e02d2492e33aba850b9a83cfd379169c00be,10
0x062d40b541df947ef0ec9eea28366e2a52a41277,10
0x062ec44240bda1c9aa9f416de945e6672cfbce85,10
0x06360e5a4b8cc4d3c1d8fb8c3dfd1a74364927b9,10
0x0647852fff893f3baca8de023bf07d563cd3c211,10
0x06515ac8eab778dd6a533e60e4cda41e0a8e4fcf,10
0x0659305689303121247078edace9ec042856902b,10
0x065f0aa0c146eb37a97cf2112e1be7ce25eeb4b4,10
0x066460c76c656613e11d11ea59007567c68b8411,10
0x066d53a9c4c22bcabf20254be7e213636d5eecf2,10
0x067712ab0f7806288adcd9e22791c425d0d9f8b0,10
0x0680573bb533abc803413266c37bcf77b2f25c08,10
0x069237a95d830bf97f00f695866e73bb47ae0c1d,10
0x06a5ace00157efad2a70537cb08a060b03cffdb7,10
0x06ab41f3a1d94be75f3db72fce64ad8535fb49ea,10
0x06ad3320c14de8e1e4ce40de782a4c040c2299bc,10
0x06b3e61b278b12493cf2e7db29957f553e3b1c44,10
0x06c1c364e908b27247d4cfedd1ac962786290731,10
0x06d6cb5e5cd06de8b23ffb77212efb7f9c8c0840,10
0x06da20ff018e3dc3cfa9ea16f687bf3b22668914,10
0x06fd072abb14933cdbbbf59bb2f1ce95bb750087,10
0x0703f6722e3a55351a544e3e1bcefc8537707840,10
0x0709758056377647d7212730d888862e77becd69,10
0x070c132c58cef9ffb762cfdd2132043b7c558717,10
0x0725faf58e743002ff5869754b71032d3e88aa02,10
0x073f4afaf299c34ceaa367d1551177e6542945a9,10
0x0748c476c1f90db3fea8b37c52c8971e55e07384,10
0x076f7d3b4c0c38ab77b85df1fb2a7a819b70d1cb,10
0x079a29cbfe9ef708f5fd8878761500053a480913,10
0x07b37e682b100208c6288f2f121298a4d60d103c,10
0x07b4a202651867165f2d0a3beafb4a8a77ed2b07,10
0x07d1530b3560afaba17496c011976db37b3fc2fd,10
0x07ecadbfab0e5f4fd9a31e7d17dc18c886776656,10
0x07eef6e0a75c1f77dd5c565885e5003f05c80039,10
0x07f3393df291d45a27d33ab1222b85e41cf252fa,10
0x07f9794439151ff97952589fbef930375786226b,10
0x07fa781a6f3209985198d1524d0d91da8d72168b,10
0x07fc048b506a9c1d9faba53bda5a988cbce2b765,10
0x081422a9388462ce14ef59c217bcabd5a351d26f,10
0x081cf38728ee922025268bce7cecb9bf2d99585c,10
0x08399228d22d505a4b51b629902d774dd472b85d,10
0x0839e551380dff5b8022240de8168118de9f0126,10
0x083b5f5932ce7f9f4550c4fa48743546573ba1b5,10
0x083f2b9fbece4d1c95d361464f57a6bd1cb66166,10
0x0847610d3cb4ad4d89e28e4887b77f58b639b477,10
0x084fb4b761d83a548c9b54a06d281f5947a67856,10
0x085f66d0764c632ce8c1f2a41531909bef106c75,10
0x087bcc810689958a10d7dc04b44b1b5fdd46508d,10
0x088873f2bf4490e7676536c261d96f47c78df56b,10
0x08941ea6a2bba892eb0a3873b9506bac2216299e,10
